ABC	Abcam Plc
ABD	Aberdeen New Dawn Investment Trust Plc
ABDP	Ab Dynamics Plc
ABF	Associated British Foods Plc
ACC	Access Intelligence Plc
ACID	Acer Incorporated
ACP	Armadale Capital Plc
ACRL	Accrol Group Holdings Plc
ACSO	Accesso Technology Group
ACT	Actual Experience Plc
ADA	Adams Plc
ADAM	Adamas Finance Asia Limi
ADES	Ades International Holding Plc
ADIG	Aberdeen Diversified Income and Growth T
ADM	Admiral Group Plc
ADME	Adm Energy Plc
ADT	Adept Telecom Plc
ADT1	Adriatic Metals Plc
ADV	Advent Vct
AEFS	Alcentra European Floating Rate Income F
AEG	Active Energy Group Plc
AEJ	Lyxor International Asse
AEMC	Aberdeen Emerging Markets Investment Com
AEO	Aeorema Communications Plc
AEP	Anglo-Eastern Plantations Plc
AERI	Aquila European Renewables Income Fund P
AEWU	Aew UK REIT Plc
AEX	Aminex Plc
AFC	Afc Energy Plc
AFHP	Afh Financial Group Plc
AFM	Alpha Financial Markets Consulting Plc
AFMC	Aberdeen Frontier Markets Investment Com
AFN	Advfn Plc
AFS	Amiad Water Systems Ltd
AFSU	Lyxor International Asse
AFX	Alpha FX Group Plc
AGFX	Argentex Group Plc
AGK	Aggreko Plc
AGL	Angle Plc
AGM	Applied Graphene Materia
AGOU	Ashmore Global Opportunities Limited
AGR	Assura Group Ld
AGRO	Ros Agro Plc
AGT	Avi Global Trust Plc
AGTA	Agriterra Ld
AGY	Allergy Therapeutics Plc
AHT	Ashtead Group Plc
AIAG	Legal & General Ucits ETF Public Limited
AIBG	Aib Group Plc
AIE	Ashoka India Equity Investment Trust Plc
AIEA	Airea Plc
AIF	Acorn Income Fund Ld
AIQ	Aiq Limited
AIR	Air Partner Plc
AJB	Aj Bell Plc
AJG	Atlantis Japan Growth Fund Ld
AJIT	Aberdeen Japan Investmen
AJOT	Avi Japan Opportunity Trust Plc
AKRN	Jsc Acron
ALAI	Aberdeen Latin American Income Fund Limi
ALBA	Alba Mineral Resources Plc
ALF	Alternative Liquidity Fu
ALFA	Alfa Financial Software Holdings Plc
ALGW	Alpha Growth Plc
ALM	Allied Minds Plc
ALP2	Alpha Plus Holdings Plc
ALQD	DB X-Trackers II
ALS	Altus Strategies Plc
ALT	Altitude Group Plc
ALTN	Altyn Plc
ALU	Alumasc Group Plc
AMAT	Amati Aim Vct Plc
AMC	Amur Minerals Corporation
AMGO	Amigo Holdings Plc
AML	Aston Martin Lagonda Global Holdings Plc
AMO	Amino Technologies Plc
AMS	Advanced Medical Solutions Group Plc
AMYT	Amryt Pharma Plc
AMZ2	Leverage Shares Public Limited Company
ANCR	Animalcare Group Plc
ANG	Angling Direct Plc
ANGS	Angus Energy Plc
ANIC	Agronomics Limited
ANII	Aberdeen New India Investment Trust Plc
ANP	Anpario Plc
ANTO	Antofagasta Plc
ANW	Aberdeen New Thai Investment Trust Plc
ANX	Anexo Group Plc
AO	AO World
AOF	Africa Opportunity Fund Limited
AOGL	Attis Oil and Gas Ltd
AOR	Aortech International Plc
APAX	Apax Global Alpha Limite
APF	Anglo Pacific Group Plc
APGN	Applegreen Plc
APH	Alliance Pharma Plc
APP	Appreciate Group Plc
APQ	Apq Global Limited
APTD	Aptitude Software Group Plc
AQSG	Aquila Services Group Plc
AQX	Aquis Exchange Plc
ARB	Argo Blockchain Plc
ARBB	Arbuthnot Banking Group Plc
ARC	Arcontech Group Plc
ARCM	Arc Minerals Limited
ARDN	Arden Partners Plc
ARE	Arena Events Group Plc
ARG	Argos Resources Limited
ARGO	Argo Group Limited
ARIX	Arix Bioscience Plc
ARK	Arkle Resources Plc
ARR	Aurora Investment Trust Plc
ARS	Asiamet Resources Limite
ARTL	Alpha Real Trust Limited
ARW	Arrow Global Group Plc
ASAI	ASA International Group Plc
ASC	Asos Plc
ASCI	Aberdeen Smaller Companies Income Trust
ASCL	Ascential Plc
ASEI	Aberdeen Standard Equity Income Trust Pl
ASHM	Ashmore Group Plc
ASHR	DB X-Trackers
ASIL	Lyxor International Asse
ASIT	Aberforth Split Level Income Trust Plc
ASIU	Lyxor International Asse
ASIZ	Aberforth Split Level Income Trust Plc
ASL	Aberforth Smaller Companies Trust Plc
ASLI	Aberdeen Standard European Logistics Inc
AST	Ascent Resources Plc
ASTO	Assetco Plc
ASY	Andrews Sykes Group Plc
ATAD	Oao Tatneft
ATM	Afritin Mining Limited
ATMA	Atlas Mara Co-Nvest Limi
ATQT	Attraqt Group Plc
ATR	Asian Total Return Inves
ATS	Artemis Alpha Trust Plc
ATST	Alliance Trust Plc
ATT	Allianz Technology Trust
ATY	Athelney Trust Plc
ATYM	Atalaya Mining Plc
AUAD	UBS [Irl] ETF Plc
AUCA	Auction Gilt
AUCO	Etfx Fund Company Plc
AUCT	Auctus Growth Plc
AUG	Augean Plc
AUGA	UBS [Irl] ETF Plc
AUGM	Augmentum Fintech Plc
AUK	Aukett Fitzroy Robinson Group Plc
AURA	Aura Energy Limited
AUTG	Autins Group Plc
AUTO	Auto Trader Group Plc
AV	Aviva
AV.A	Aviva Plc
AVAP	Avation Plc
AVCT	Avacta Group Plc
AVG	Avingtrans Plc
AVO	Advanced Oncotherapy Plc
AVON	Avon Rubber Plc
AVST	Avast Plc
AVV	Aveva Group Plc

AWSG	UBS [Irl] ETF Plc
AXB	Axis Bank Limited
AXI	Axiom European Financial Debt Limited
AXS	Accsys Technologies Plc
AYM	Anglesey Mining Plc
AZN	Astrazeneca Plc
BA	Bae Systems Plc
BAB	Babcock International Group Plc
BAF	British & American Investment Trust Plc
BAG	Barr [A.G.] Plc
BAKK	Bakkavor Group Plc
BAR	Brand Architekts Group Plc
BARC	Barclays Plc
BATG	Go Ucits ETF Solutions Plc
BATS	British American Tobacco Plc
BATT	Go Ucits ETF Solutions Plc
BBB	Bigblu Broadband Plc
BBGI	Bilfinger Berger Global Infrastructure S
BBH	Bb Healthcare Trust Plc
BBOX	Tritax Big Box REIT Plc
BBSN	Brave Bison Group Plc
BBY	Balfour Beatty Plc
BC12	Better Capital Pcc Limit
BC94	Samsung Electronics Co L
BCAP	Better Capital Pcc Limited
BCHN	Invesco Markets II Plc
BCI	BMO Capital & Income Investment Trust Pl
BCN	Bacanora Minerals Ltd
BCOG	Go Ucits ETF Solutions Plc
BCPT	BMO Commercial Property Trust Ltd.
BDEV	Barratt Developments Plc
BEE	Baring Emerging Europe Plc
BEG	Begbies Traynor Group Plc
BEL1	Retail Charity Bonds Plc
BEM	Beowulf Mining Plc
BENE	Boost Issuer Public Limited Company
BERI	Blackrock Energy and Resources Income TR
BERM	Bermele Plc
BEZ	Beazley Plc
BGEO	Bank of Georgia Holdings Plc
BGEU	Baillie Gifford European Growth Trust
BGFD	Baillie Gifford Japan Trust Plc
BGHL	Boussard & Gavaudan Holding Limited
BGLF	Blackstone / Gso Loan FI
BGLP	Blackstone / Gso Loan Financing Limited
BGO	Bango Plc
BGS	Baillie Gifford Shin Nippon Plc
BGSC	BMO Global Smaller Companies Plc
BGUK	Baillie Gifford UK Growth Fund Plc
BHGG	Bh Global Limited
BHI	BMO UK High Income Trust Plc
BHMG	Bh Macro Limited
BHP	Bhp Group Plc
BHRD	BE Heard Group Plc
BIDS	Bidstack Group Plc
BIFF	Biffa Plc
BIGT	Go Ucits ETF Solutions Plc
BILB	Bilby Plc
BILN	Billington Holdings Plc
BIOG	Biotech Growth Trust [The] Plc
BIOM	Biome Technologies Plc
BIOT	Go Ucits ETF Solutions Plc
BIRD	Blackbird Plc
BIRG	Bank of Ireland Group Plc
BISI	Bisichi Mining Plc
BKG	Berkeley Group Holdings [The] Plc
BKS	Beeks Financial Cloud Group Plc
BKY	Berkeley Resources Limited
BLBD	Blom Bank Sal
BLND	British Land Company Plc
BLOE	Block Energy Plc
BLOK	First Trust Global Funds Public Limited
BLP	Blue Planet International Financials Inv
BLTG	Blancco Technology Group Plc
BLU	Blue Star Capital Plc
BLV	Belvoir Group Plc
BLVN	Bowleven Plc
BMD	Baronsmead Vct 3 Plc
BME	B&M European Value Retai
BMK	Benchmark Holdings Plc
BMN	Bushveld Minerals Limited
BMPG	BMO Managed Portfolio Trust Plc
BMS	Braemar Shipping Services Plc
BMT	Braime [T.F. & J.H.] [Holdings] Plc
BMTO	Braime Group Plc
BMV	Bluebird Merchant Ventures Ltd
BMY	Bloomsbury Publishing Plc
BNC	Banco Santander S.A.
BNKR	Bankers Investment Trust Plc
BNZL	Bunzl Plc
